regional_number,daritel,act_id,date,suma,predmet,nadaren
15,"""Ботев"" ЕООД",10915,28.2.2011,90000,"АГУ/Авт.газов
а уредба/",РУП-Севлиево
16,"""Чех"" ООД",9353,28.2.2011,48000,Гориво,РУП-Дряново/Криминална/
17,"""Гард СОД"" ЕООД",2448,18.3.2011,10000,Гориво,РУП-Севлиево
18,"""Премиум"" ЕООД",13483,24.3.2011,14220,Гориво,РУП-Трявна
19,"""Ивелина"" ЕООД",13497,24.3.2011,58098,Гориво,РУП-Трявна
20,Община Дряново,202,14.4.2011,71800,Гориво,РУП-Дряново
21,"""Дивена"" ЕООД",28809,30.6.2011,33660,Гориво,РУП-Севлиево
1,Г.А.Г.,1345,11.1.2011,22200,Гориво,"РУ""Полиция"" -Ген.Тошево"
2,"ЕТ ""Жасмин-Иван Диков""",1349,11.1.2011,26640,Гориво,"РУ""Полиция"" -Ген.Тошево"
3,"""Рубин"" АД",4981,01.2.2011,2880.00,Гориво,"РУ""Полиция"" - Тервел"
4,"""Пластхим-Т"" АД",4983,01.2.2011,1440.00,Гориво,"РУ""Полиция"" - Тервел"
5,"""Балкан спорт енд травел"" ООД",6045,08.2.2011,90000,Гориво,"РУ""Полиция"" - Албена"
6,"ФК ""Калиакра""",23641,17.5.2011,1242.50,Гориво,"РУ""Полиция"" - Каварна"
7,ОБЩИНА ГРАД БАЛЧИК,23643,17.5.2011,7410.00,Гориво,"РУ""Полиция"" - Балчик"
8,ОБЩИНА ГРАД БАЛЧИК,29213,13.6.2011,4920.00,Гориво,"РУ""Полиция"" - Албена"
9,"ПТК ""Шабленски фар""",29839,17.6.2011,36000,Офис техника,"РУ""Полиция"" - Шабла"
10,"""Елпром ЕМЗ"" ООД",29845,17.6.2011,30000,Компютърна техника,"РУ""Полиция"" - Шабла"
11,"""Добрич строй"" ООД",31025,24.6.2011,2400.00,"система за
видеонаблюден ие, дигитален видеорекордер","Сектор ""Пътна полиция"" ОДМВР -
Добрич"
1,"""Метал трейдинг"" ООД",6946,13.11.2007,19188,Гориво,РУП Кърджали
2,"""Юзгюн"" ООД",699,27.2.2009,31242,Гориво,РУП Кърджали
3,"""Васмар"" ЕООД",852,28.1.2010,30996,Гориво,РУП Кърджали
4,Стройколор,851,28.1.2010,30750,Гориво,РУП Кърджали
5,"""Амар 95"" ЕООД",1469,01.2.2010,9840,Гориво,РУП Кърджали
6,"""Караман"" ООД",184,05.2.2010,29520,Гориво,РУП Кърджали
7,"""Устра бетон"" ООД",3761,18.3.2010,36900,Гориво,РУП Кърджали
8,Саварона,4126,25.3.2010,7380,Гориво,РУП Кърджали
9,"""Симекс"" ЕООД",6586,19.5.2010,19680,Гориво,РУП Кърджали
10,"""Ар-М агро"" ООД",10277,04.8.2010,47724,Гориво,РУП Кърджали
11,"""Арда-строй"" ЕООД",15475,09.12.2010,33948,Гориво,РУП Кърджали
12,"""Гаспар ГОДО"" ООД",11689,11.12.2010,44280,Гориво,РУП Кърджали
13,"""Елит-95"" ООД",11688,11.12.2010,36900,Гориво,РУП Кърджали
14,"""3 S СОД"" АД",177,03.1.2011,28500,Гориво,СОТ  Кърджали
15,"""Идеал фешън"" ООД",176,03.1.2011,23900,Гориво,РУП Джебел
16,"""Джебел 96"" ООД",178,03.1.2011,71250,Гориво,РУП Джебел
17,"ЕТ ""Габи""",167,05.1.2011,14760,Гориво,РУП Кърджали
18,Солак-ойл,165,05.1.2011,14760,Гориво,РУП Кърджали
19,"""Феникс Т"" ЕООД",431,07.1.2011,32472,Гориво,РУП Кърджали
20,"""Метаформ"" ЕООД",599,11.1.2011,51168,Гориво,РУП Кърджали
21,Билдингс,1220,21.1.2011,29520,Гориво,РУП Кърджали
22,Об.Съвет  гр.Джебел,254,27.1.2011,1539.50,Гориво,РУП Джебел; ПБЗН Джебел
23,"""Салко"" ООД",2215,10.2.2011,19680,Гориво,РУП Кърджали
24,Ангротекс,2266,11.2.2011,9840,Гориво,РУП Кърджали
25,"""Ветекс"" ООД",2541,16.2.2011,84780,Гориво,РУП Ардино
26,Е и М,2651,18.2.2011,11808,Гориво,РУП Кърджали
27,Алтекс,3311,01.3.2011,34440,Гориво,РУП Кърджали
28,"""Текстил груп"" ЕООД",3481,07.3.2011,70850,Гориво,СОТ  Кърджали
29,Голд-2010,3479,07.3.2011,20172,Гориво,РУП Кърджали
30,"""БКС 93"" ЕООД",3676,09.3.2011,14060,Гориво,РУП Момчилград
31,"""Пътстрой инженеринг"" АД",3653,09.3.2011,88758,Гориво,РУП Кърджали
32,"""Нар"" ООД",3677,09.3.2011,66418,Гориво,РУП Момчилград
33,"""Меси"" ООД",3679,09.3.2011,37633,Канцеларски материали,РУП Момчилград
34,"""Наталия"" ООД",3691,10.3.2011,43202,Гориво,РУП Момчилград
35,"""Мария ММ"" АД",7437,06.4.2011,44900,Инвентар,ОД на МВР Кърджали
36,"""Баумакс България"" ЕООД",2622,13.4.2011,12196,Инвентар,ОД на МВР Кърджали
37,"""Метаформ"" ЕООД",7785,17.5.2011,24500,Офис техника,КАТ ПП Кърджали
38,"""Технополис България"" ЕАД",3900,17.5.2011,4500,Инвентар,ОД на МВР Кърджали
39,"""Маказа"" ЕООД",7832,18.5.2011,19680,Гориво,РУП Кирково
1,Община Бобошево,29,16.3.2004,1510.70,Гориво,"РУ ""Полиция"" Дупница"
2,Община Кочериново,33,01.3.2005,2154.36,Гориво,"РУ ""Полиция"" Рила"
3,"""Дартрейд"" АД",131,15.12.2005,81980,Гориво,"РУ ""Полиция"" Дупница"
4,Община Сапарева баня,20,21.2.2007,2635.85,Гориво,"РУ ""Полиция"" Дупница"
5,Община Кюстендил,56,07.3.2008,3930.25,Гориво,"РУ ""Полиция"" Кюстендил"
6,"""Балканфарма"" АД",31,23.4.2009,13898.69,Гориво,"РУ ""Полиция"" Дупница"
7,"""Паничище"" ЕООД",42,04.6.2009,68950,Гориво,"РУ ""Полиция"" Дупница"
8,"""Общинска застрахователна компания""
АД",65,18.9.2009,9800,Гориво,"РУ ""Полиция"" Кюстендил"
9,Община Рила,395,28.1.2010,57920,Гориво,"РУ ""Полиция"" Рила"
10,"""Титан - груп"" ООД",24,11.2.2010,12000,ПБ,ОДМВР Кюстендил
11,"""Ди-Ви-Би"" ООД",37,02.3.2010,41890,Гориво,"РУ ""Полиция"" Дупница"
12,"""Комфорт КЕ"" ЕООД",41,02.3.2010,21210,Гориво,ОДМВР Кюстендил
13,"""ЕКО 2000"" ООД",61,26.4.2010,41890,Гориво,"РУ ""Полиция"" Дупница"
14,"""Сибанк"" АД",62,11.5.2010,69363,Гориво,"РУ ""Полиция"" Дупница"
15,"""Софарма"" АД",74,09.7.2010,97740,Гориво,"РУ ""Полиция"" Дупница"
16,"""Дани-М"" ЕООД",95,14.10.2010,35850,Гориво,"РУ ""Полиция"" Бобов дол"
17,"ТЕЦ ""Бобов дол"" ЕАД",101,22.12.2010,4341.00,Гориво,"РУ ""Полиция"" Бобов дол"
18,"""Торос"" ЕООД",102,22.12.2010,30000,ПБ,ОДМВР Кюстендил
19,"""Олимпия"" ООД",1,06.1.2011,2027.70,Гориво,ОДМВР Кюстендил
20,"ТЕЦ ""Бобов дол"" ЕАД",2,26.1.2011,5100.00,Гориво,"РУ ""Полиция"" Дупница"
21,"""Рилатекс"" ООД",3,26.1.2011,2855.42,Гориво,"РУ ""Полиция"" Рила"
22,"СД ""Вьор - Андонови""",4,26.1.2011,12000,ПБ,ОДМВР Кюстендил
23,"""БАД Гранатоид"" АД",5,26.1.2011,2166.00,Гориво,"РУ ""Полиция"" Рила"
24,"""Роуд дизайн"" ЕООД",6,31.1.2011,36000,Инвентар,ОДМВР Кюстендил
25,"ЕТ ""Иван Грънчаров - Експресо""",7,02.2.2011,70072,Гориво,"РУ ""Полиция"" Дупница"
26,"""Пътно поддържане - Дупница"" ООД",9,04.2.2011,2800.00,Гориво,"РУ ""Полиция"" Дупница"
27,"""Елпромтрафо СН"" АД",11,22.2.2011,50000,Канцеларски материали,"РУ ""Полиция"" Кюстендил"
28,"""Общинска банка"" АД",12,22.2.2011,60000,Парични средства,ОДМВР Кюстендил
29,"""Соларис Груп"" ООД",13,22.2.2011,12000,ПБ,ОДМВР Кюстендил
30,"""Петрогаз"" ООД",14,22.2.2011,20000,ПБ,ОДМВР Кюстендил
31,"""ГАЛ Груп"" ООД",15,22.2.2011,69000,Гориво,ОДМВР Кюстендил
32,"""БРИЗ-Л"" ЕООД",16,22.2.2011,1446.00,Гориво,"РУ ""Полиция"" Бобов дол"
33,"""Въгледобив Бобов дол"" ЕООД",20,18.3.2011,4280.00,Гориво,"РУ ""Полиция"" Бобов дол"
34,"""Трафик Груп"" ЕООД",21,23.3.2011,10000,Компютърна техника,"РУ ""Полиция"" Кюстендил"
35,"""Слави-100"" ЕООД",22,29.3.2011,3335.00,"портална
метална врата","РУ ""Полиция"" Дупница"
36,"""Пауталия турс"" АД",26,17.5.2011,1000.00,Резервни части,ОДМВР Кюстендил
37,"ЗКПУ ""Струма""",27,01.6.2011,48806,Гориво,"РУ ""Полиция"" Рила"
38,Община Рила,28,15.6.2011,50000,Компютърна техника,"РУ ""Полиция"" Рила"
39,"""Кентавър"" ООД",29,17.6.2011,30000,Парични средства,ОДМВР Кюстендил
40,"ППЗК ""Шатрово""",32,21.6.2011,4000.00,Парични средства,"РУ ""Полиция"" Бобов дол"
1,"""Бонмикс"" ООД",Д-1,04.1.2011,29715,Гориво,С-Р  БОП Ловеч
2,"""Сити казино груп"" ЕООД",Д-9,10.1.2011,15000,Гориво,РУП Троян
3,"ЕТ ""Милко Луканов""",Д-7,10.1.2011,12000,Гориво,РУП Ябланица
4,"""Дипломат-корпорейшън"" ООД",Д-11,13.1.2011,52360,Гориво,РУП Ябланица
5,"""Златна панега цимент"" АД",Д-21,13.1.2011,55000,Резервни части,РУП Луковит
6,Петрос ойл,Д-19,13.1.2011,14370,Гориво,РУП Ябланица
7,"""Абламилк"" ЕООД",Д-17,13.1.2011,18000,Гориво,РПУ Ябланица
8,"""Лъсков-Ст.Димитров"" ЕООД",Д-15,13.1.2011,34000,Гориво,РУП Ябланица
9,"""Бобо 5 и синове"" ООД",Д-13,13.1.2011,21480,Гориво,РУП Ябланица
10,Никром тръбна мебел,Д-25,17.1.2011,30000,Гориво,С-Р ПП КАТ Ловеч
11,Никром тръбна мебел,Д-23,17.1.2011,30123,Гориво,РУП Ловеч
12,Стронг ЕС,Д-31,18.1.2011,4630,Гориво,С-Р СОД
13,"ЕТ ""Нуши Тем.Петрова""",Д-29,18.1.2011,35600,Гориво,РУП Луковит
14,"ЕТ ""Елит""",Д-27,18.1.2011,18500,Застраховка,ПУ Априлци
15,"""Златна панега цимент"" АД",Д-35,21.1.2011,2196.00,Гориво,РУП Луковит
16,"""Златна панега цимент"" АД",Д-37,21.1.2011,2834.37,Гориво,РУП Ябланица
17,"""Златна панега цимент"" АД",Д-39,21.1.2011,3125.00,Гориво,РУП Тетевен
18,"""Златна панега цимент"" АД",Д-41,24.1.2011,1171.20,Гориво,РУП Ябланица
19,КМЕТСТВО С.БРЕСТНИЦА,Д-43,25.1.2011,60000,Гориво,
20,"ЕТ ""Румен Нацев""",Д-45,25.1.2011,12011,Гориво,РУП Ловеч
21,"""Булхерб 2010"" ООД",Д-47,25.1.2011,3998,Гориво,РУП Ловеч
22,"""Феникс инверс"" ООД",Д-51,31.1.2011,59952,Гориво,РУП Ловеч
23,"""Атланта"" ЕООД",Д-53,01.2.2011,15000,Канцеларски материали,РУП Троян
24,"""Еване"" ЕООД",Д-55,01.2.2011,3200,Канцеларски материали,РУП Троян
25,Агро ин 2008,Д-57,04.2.2011,4800,Гориво,РУП Луковит
26,"ЕТ ""Светлина""",Д-59,08.2.2011,2000,Гориво,РУП Ловеч
27,ОКР.ПРОКУРАТУРА ЛОВЕЧ,Д-63,09.2.2011,41337,Компютърна техника,ОДМВР Ловеч
28,"""Юнимийд комерс"" ООД",Д-71,10.2.2011,14117,Гориво,РУП Ябланица
29,"""Йоана-89"" ЕООД",Д-69,10.2.2011,35842,Гориво,РУП Троян
30,"""Троянефт"" ООД",Д-67,10.2.2011,15000,Гориво,РСПБЗН Троян
31,"""Феникс инверс"" ООД",Д-75,16.2.2011,1000.00,Строителни материали,С-Р ПП КАТ Ловеч
32,"""Есмол секюрити СОТ"" ЕООД",Д-77,17.2.2011,35000,Гориво,РУП Тетевен
33,В.К.К.,Д-89,02.3.2011,3876,Канцеларски материали,ОД МВР Ловеч
34,"""Елма - 13"" ООД",Д-93,21.3.2011,4720,Гориво,РУП Троян
35,"""Речно 2002"" ООД",Д-97,22.3.2011,17010,Гориво,РУП Ябланица
36,"ЕТ ""Цанко Мичев""",Д-99,24.3.2011,23600,Гориво,РУП Троян
37,"""Сирс-Стоянова"" ООД",Д-101,25.3.2011,10576,Гориво,РУП Ловеч
38,"""Седимент - приват"" ЕАД",Д-103,28.3.2011,49820,Гориво,РУП Луковит
39,"""Клеърс"" ООД",Д-107,31.3.2011,30000,Канцеларски материали,ОД МВР Ловеч
40,"""Сталит"" ЕООД",Д-111,07.4.2011,10000,Канцеларски материали,РУП Ловеч
41,"ЕТ ""Салимет-Сали Мехмед""",Д-115,13.4.2011,15001,Гориво,ПУ Априлци
42,"""Златна панега цимент"" АД",Д-117,13.4.2011,11000,Резервни части,РУП Ябланица
43,"""Ибрямов"" ООД",Д-119,14.4.2011,21000,Гориво,РУП Троян
44,"""Универсал строй"" ООД",Д-121,15.4.2011,8360,Гориво,РУП Троян
45,"Кооперация ""Съгласие""",Д-123,19.4.2011,21960,Гориво,РУП Ловеч
46,ОБЩИНА ГР.ЛУКОВИТ,Д-125,02.5.2011,1300.00,Строителни материали,РУП Луковит
47,"""Универсал строй"" ООД",Д-127,02.5.2011,27790,Инвентар,ОД МВР Ловеч
48,"""Врамед"" АД",Д-129,03.5.2011,58000,Авточасти,С-Р БОП
49,Български колоездачен съюз,Д-131,16.5.2011,7320,Гориво,РУП Троян
50,"Мотоклуб ""Камикадзе""",Д-133,18.5.2011,39040,Гориво,ПУ Летница
51,"""Скорпит"" ЕООД",Д-137,06.6.2011,39000,Канцеларски материали,РУП Троян
52,"""Ангелов"" ЕООД",Д-139,16.6.2011,5000,Инвентар,РУП Троян
