regional_number,daritel,act_id,date,suma,predmet,nadaren
33,"""Роботика"" ООД",Д-104,26.10.2010,28620,Гориво,РУП-Велинград
34,"ЕТ ""Цвета-Цветанка Холянова""",Д-105,27.10.2010,28620,Гориво,РУП-Велинград
35,"ЕТ ""Ангел Станков""",Д-106,27.10.2010,21465,Гориво,РУП-Велинград
36,"""Палисандър"" ООД",Д-108,27.10.2010,21465,Гориво,РУП-Велинград
37,"""Ковекс"" ООД",Д-114,25.11.2010,86220,Гориво,РУП-Панагюрище
38,"""Сигма-ойл"" ЕООД",Д-118,01.12.2010,28620,Гориво,РУП-Велинград
39,ВИК ЕООД,Д-1,03.1.2011,28448,Гориво,РУП-Пазарджик
40,"""Винпром Пещера"" ООД",Д-4,06.1.2011,2284.80,Гориво,РУП-Пещера
41,"""Биовет"" АД",Д-5,06.1.2011,4222.60,Гориво,РУП-Пещера
42,"ЕТ ""Нике-Е""",Д-6,10.1.2011,42537,Гориво,РУП-Пазарджик
43,"ЗК ""Азмака""",Д-7,10.1.2011,42943,Гориво,РУП-Пазарджик
44,"""Стови"" ЕООД",Д-8,17.1.2011,28695,Гориво,РУП-Пазарджик
45,Фулмакс,Д-9,19.1.2011,30162,Гориво,РУП-Пазарджик
46,"""Кристина 2008"" ООД",Д-10,19.1.2011,28368,Гориво,РУП-Пазарджик
47,"""Агрофарм"" ООД",Д-12,20.1.2011,28568,Гориво,РУП-Пазарджик
48,"""Ромпетрол България"" АД",Д-13,21.1.2011,23988,Гориво,РУП-Пазарджик
49,"""Хермес ойл"" ООД",Д-14,21.1.2011,30000,Гориво,РУП-Пазарджик
50,"""Екоконс"" ЕООД",Д-15,24.1.2011,56972,Гориво,РУП-Пазарджик
51,"""Ди Ти Ай"" ООД",Д-16,24.1.2011,1434.60,Гориво,РУП-Пазарджик
52,Н.И.Р.,Д-24,25.1.2011,36900,Климатична техника,РУП-Септември
53,"""Велас-В"" ООД",Д-17,26.1.2011,2160.00,Гориво,РУП-Септември
54,"""Раян газ"" ЕООД",Д-18,26.1.2011,4320.00,Гориво,РУП-Септември
55,"""Бултес"" ООД",Д-19,26.1.2011,1440.00,Гориво,РУП-Септември
56,ВИК ЕООД,Д-20,26.1.2011,57600,Гориво,РУП-Септември
57,"""Дикома"" ЕООД",Д-21,26.1.2011,72000,Гориво,РУП-Септември
58,"ЕТ ""Марин Рачев-менсъл""",Д-22,26.1.2011,1431.50,Гориво,РУП-Пазарджик
59,ОКРЪЖЕН СЪД ПАЗАРДЖИК,Д-23,27.1.2011,56644,Компютърна техника,РУП-Пазарджик
60,И.П.К.,Д-25,01.2.2011,30002,Канцеларски материали,РУП-Септември
61,"""Крелия Кадьова - 52"" ЕООД",Д-26,02.2.2011,42930,Гориво,РУП-Велинград
62,"ЕТ      ""Еленка      Йорданова-Антоний
Иванов""",Д-27,02.2.2011,35775,Гориво,РУП-Велинград
63,"""Клип щанц"" ООД",Д-28,03.2.2011,1437.00,Гориво,РУП-Панагюрище
64,"""Автотранс І"" ООД",Д-29,03.2.2011,59650,Гориво,РУП-Панагюрище
65,"""Ектрон"" АД",Д-30,03.2.2011,76800,Гориво,РУП-Панагюрище
66,"""Еверт-лак"" ЕООД",Д-31,03.2.2011,71850,Гориво,РУП-Панагюрище
67,"""Фейзал"" ЕООД",Д-32,04.2.2011,28620,Гориво,РУП-Велинград
68,"""Интер-д"" ООД",Д-33,04.2.2011,19200,Гориво,РУП-Пещера ПУ-Брацигово
69,"""Керамит"" ЕООД",Д-34,04.2.2011,28800,Гориво,РУП-Пещера ПУ-Брацигово
70,"""Инфрастрой"" ЕООД",Д-35,04.2.2011,16680,Гориво,РУП-Пещера ПУ-Брацигово
71,"""Спектър керамик"" ООД",Д-36,04.2.2011,24000,Гориво,РУП-Пещера ПУ-Брацигово
72,"""Конфекция Пе-Се-Ес"" ЕООД",Д-37,04.2.2011,24480,Гориво,РУП-Пещера ПУ-Брацигово
73,"""Бютихом"" ООД",Д-38,04.2.2011,28800,Гориво,РУП-Пещера ПУ-Брацигово
74,"""Фида"" АД",Д-39,04.2.2011,36000,Гориво,РУП-Пещера ПУ-Брацигово
75,"ЕТ ""Ангел Чопев""",Д-40,09.2.2011,28620,Гориво,РУП-Велинград
76,"""Европа транс"" ЕООД",Д-41,10.2.2011,28530,Гориво,РУП-Пазарджик
77,"""Дуропак-тракия-папир"" АД",Д-42,10.2.2011,71540,Гориво,РУП-Пазарджик
78,"ДГС ""ЧЕХЛЬОВО"" ВЕЛИНГРАД",Д-46,28.2.2011,42930,Гориво,РУП-Велинград
79,"""Метал ленд"" ООД",Д-47,01.3.2011,60000,Инвентар,РУП-Пазарджик
80,"""Равногор"" ООД",Д-48,31.3.2011,9600,Гориво,РУП-Пещера ПУ-Брацигово
81,"""Заря-2000"" АД",Д-49,31.3.2011,77600,Гориво,РУП-Септември
82,"ЕТ ""Радаил-Деян Димов""",Д-50,01.4.2011,21330,Гориво,РУП-Велинград
83,"""Транс Тупаров"" ЕООД",Д-51,05.4.2011,21330,Гориво,РУП-Велинград
84,"""Гърбев-08"" ЕООД",Д-52,05.4.2011,21330,Гориво,РУП-Велинград
85,"""Ди Ти Ай"" ООД",Д-53,29.4.2011,30000,Парични средства,Спортен отбор по футбол
86,"""Агрофарм"" ООД",Д-54,29.4.2011,30000,Парични средства,Спортен отбор по футбол
87,"ЕТ ""Весела лукс-Веселка Илиева""",Д-55,29.4.2011,30000,Парични средства,Спортен отбор по футбол
88,"""Марица олио"" АД",Д-56,29.4.2011,50000,Парични средства,Спортен отбор по футбол
89,"""Нелас моторс"" ООД",Д-57,29.4.2011,10000,Парични средства,Спортен отбор по футбол
90,"""Ер Ем трейд"" АД",Д-58,29.4.2011,27000,Парични средства,Спортен отбор по футбол
91,"""Ейч Ди Ти груп"" ООД",Д-59,09.5.2011,1650.00,Компютърна техника,РУП-Пазарджик
92,"""Ромеда билд"" ЕООД",Д-60,09.5.2011,10000,Парични средства,Спортен отбор по футбол
93,"""Яв Го"" ЕООД",Д-61,09.5.2011,25000,Парични средства,Спортен отбор по футбол
94,"""Фойерверкс"" ЕООД",Д-62,09.5.2011,20000,Парични средства,Спортен отбор по футбол
95,"""Градус-1"" ООД",Д-63,09.5.2011,70000,Парични средства,Спортен отбор по футбол
96,"""Оптикс"" АД",Д-64,09.5.2011,25000,Парични средства,Спортен отбор по футбол
97,"ЕТ ""Атанас Янакиев-66""",Д-65,09.5.2011,20000,Парични средства,Спортен отбор по футбол
98,"""Сконто"" ООД",Д-66,09.5.2011,20000,Парични средства,Спортен отбор по футбол
99,"""САТ 1977"" ООД",Д-67,25.5.2011,60000,Компютърна техника,РУП-Пазарджик
100,"""Дуропак Тракия"" АД",Д-68,01.6.2011,1566.00,Компютърна техника,"ОДМВР-Пазарджик Сектор ""ПИП"""
101,ДГС ГРАД БЕЛОВО,Д-74,01.6.2011,12000,Гориво,РУП-Септември
1,Рекоул,530,08.1.2010,1393.27,Гориво,Първо РУП Перник
2,"""Рапидгруп"" ЕООД",4833,05.5.2010,69500,Гориво,РУП Радомир
3,РПК-Трън,10395,09.6.2010,15622,Гориво,РУП Трън
4,Рекоул,22032,14.12.2010,2410.48,Гориво,Първо РУП Перник
5,Телеком бизнес солюшън,2289,04.2.2011,18000,Офис техника,ОДМВР Перник
6,"""БМВ"" ЕООД",3642,25.2.2011,4644.70,"персонални
компютри","ОДМВР Перник, сектор Пътна
полиция"
7,"""БМВ"" ЕООД",5382,17.3.2011,3094.00,каси метални,ОДМВР Перник
8,СД-Тони-Трън-Николов сие,6234,25.3.2011,1102.81,Гориво,РУП Трън
9,"Полицейско    синдикално    дружество
Перник",7140,06.4.2011,19000,Инвентар,ОДМВР Перник
10,"""Рапидгруп"" ЕООД",4801,21.4.2011,75960,Гориво,РУП Радомир
1,"""Мелница Левски"" ОДД",6061,23.3.2000,73800,Гориво,РУП - Левски
2,Община  гр.Левски,6753,04.4.2000,1919.00,Гориво,РУП - Левски
3,"""Оранжерии Гимел"" ЕООД",8013,25.4.2000,73800,Гориво,РУП - Левски
4,"""Есмос"" АД",11241,28.2.2006,73800,Гориво,РУП - Левски
5,"""Инетермес"" ООД",437,05.1.2011,10000,Гориво,Пътна Полиция
6,"""Пауер инженеринг"" ЕООД",ППР-160,10.1.2011,20000,Гориво,Пътна Полиция
7,"""Вап продакшън"" ЕООД",1862,16.1.2011,30000,Гориво,Първо РУП - Плевен
8,"""ВИК"" ЕООД",1867,16.1.2011,10000,Гориво,РУП - Пордим
9,"""Атлантик-ко"" ЕООД",1849,16.1.2011,8920,Гориво,РУП - Пордим
10,"""Секюрити-бг България груп"" ООД",1847,16.1.2011,9000,Гориво,РУП - Пордим
11,"""Анна 2003"" ООД",1845,16.1.2011,5000,Гориво,РУП - Пордим
12,"ЗКПУ ""Напредък""",1851,16.1.2011,11250,Гориво,РУП - Пордим
13,"ЗКПУ ""Дрен""",1850,16.1.2011,22500,Гориво,РУП - Пордим
14,"""ТМТ-Елком"" ООД",ППР-458,16.1.2011,10721,"електроматериа
ли",Пътна Полиция - ОДМВР Плевен
15,"""Рубин"" ООД",2481,20.1.2011,20240,Гориво,Второ РУП - Плевен
16,"""Бардгруп"" ЕООД",2483,20.1.2011,31900,Гориво,Второ РУП - Плевен
17,"""Кайлъка ресурс"" АД",2484,20.1.2011,22100,Гориво,Второ РУП - Плевен
18,"""Кайлъка ресурс"" АД",2485,20.1.2011,21400,Гориво,Второ РУП - Плевен
19,"ПК ""Мобиле мобилес""",2487,20.1.2011,10800,Гориво,Второ РУП - Плевен
20,"""Бардгруп"" ЕООД",2489,20.1.2011,32250,Гориво,Второ РУП - Плевен
21,"""Бардгруп"" ЕООД",2493,20.1.2011,32850,Гориво,Второ РУП - Плевен
22,"""Плевен БТ"" АД",2495,20.1.2011,19890,Гориво,Второ РУП - Плевен
23,"""Керчев и синове"" ООД",2829,22.1.2011,13740,Гориво,РУП - Пордим
24,"""ВИК"" ЕООД",7051,24.1.2011,10000,Гориво,РУП - Левски
25,И.Х.Й.,3075,25.1.2011,4999,Авточасти,сектор СОД-ОДМВР - Плевен
26,"""Пантера"" ООД",3084,25.1.2011,40000,"ПВЦ дограма
със стъклопакет",РУП - Кнежа
27,"""Винарска къща Мизия"" АД",4593,04.2.2011,95440,Гориво,РУП - Долна Митрополия
28,"""ВАП хидро"" ЕООД",4515,04.2.2011,30000,Гориво,Първо РУП - гр. Плевен
29,"""ВИК"" ЕООД",4750,07.2.2011,12000,Гориво,Първо РУП - гр. Плевен
30,"ЧЗППК ""Изгрев""",4756,07.2.2011,55440,Гориво,РУП - Кнежа
31,"""Пауер инженеринг"" ЕООД",4744,07.2.2011,14160,Гориво,Второ РУП - гр. Плевен
32,"""АС-ДС"" ООД",4778,07.2.2011,7000,Гориво,РУП - Никопол
33,"""Йоана"" ЕООД",4751,07.2.2011,34800,Гориво,РУП - Гулянци
34,"ЗКПУ ""Дрен""",4755,07.2.2011,11750,Гориво,РУП - Пордим
35,"""ВИК"" ЕООД",4749,07.2.2011,10000,Гориво,РУП - Пордим
36,"ЧПТК ""Марен""",4761,07.2.2011,10000,Гориво,РУП - Никопол
37,"""Ронал"" ЕООД",4746,07.2.2011,20000,Гориво,РУП - Червен Бряг
38,"""Винпром Плевен"" ЕАД",4747,07.2.2011,11899,Гориво,Първо РУП - Плевен
39,"""ВИК"" ЕООД",4767,07.2.2011,22000,Гориво,Пътна Полиция - ОДМВР Плевен
40,"РПК ""Наркооп""",4777,07.2.2011,9001,Гориво,РУП - Никопол
41,"""Звезда"" АД",4752,07.2.2011,1499.40,Гориво,РУП - Долна Митрополия
42,Феникс норд,4759,07.2.2011,20000,Гориво,РУП - Долна Митрополия
43,"""Агро сантино"" ЕООД",4745,07.2.2011,16401,Гориво,РУП - Пордим
44,"""ВИК"" ЕООД",4766,07.2.2011,11350,Гориво,РУП - Д.Дъбник
45,"""ВИК"" ЕООД",5019,09.2.2011,10000,Гориво,РУП - Левски
46,"""ВИК"" ЕООД",5022,09.2.2011,10000,Гориво,РУП - Долна Митрополия
47,"""Стронг Ес"" ООД",5442,11.2.2011,36000,Канцеларски материали,ОДМВР - Плевен
48,"""ВИК"" ЕООД",5438,14.2.2011,9260,Гориво,РУП - Пордим
49,"""Винпром Плевен"" ЕАД",6127,17.2.2011,12486,Гориво,Първо  РУП - Плевен
50,"""Агро сантино"" ЕООД",6134,17.2.2011,16502,Гориво,РУП - Пордим
51,"""Дендрит пластика"" ООД",7019,24.2.2011,30000,Гориво,РУП - Червен Бряг
52,"ЕТ ""Елма-ПП Цолов""",7027,24.2.2011,11800,Гориво,РУП - Червен Бряг
53,"""Агротекс - НД"" ООД",7030,24.2.2011,70800,Гориво,РУП - Червен Бряг
54,"""Интермес"" ООД",7050,24.2.2011,11200,Гориво,Второ РУП - Плевен
55,"""Интермес"" ООД",7047,24.2.2011,11650,Гориво,Второ РУП - Плевен
56,"""Интермес"" ООД",7043,24.2.2011,20000,Гориво,Пътна Полиция - Плевен
57,В.К.Г.,7041,24.2.2011,20000,Компютърна техника,Второ РУП - Плевен
58,"""Пауер инженеринг"" ЕООД",7049,24.2.2011,13980,Гориво,Второ РУП - Плевен
59,"""Пауер инженеринг"" ЕООД",7042,24.2.2011,21200,Гориво,Пътна Полиция - Плевен
60,"""Кайлъка ресурс"" АД",7048,24.2.2011,22900,Гориво,Второ РУП - Плевен
61,"ЕТ ""ЕТА-Виолета Желева""",7031,24.2.2011,60000,Гориво,РУП Червен бряг
62,"""Бетонекс"" ООД",7051,24.2.2011,77806,Гориво,РУП Долна Митрополия
63,"""Керчев и синове"" ООД",7021,24.2.2011,14100,Гориво,РУП - Пордим
64,"""МХ-фреш"" ЕООД",7023,24.2.2011,8000,Гориво,РУП - Пордим
65,"""ВИК"" ЕООД",7503,01.3.2011,10000,Гориво,РУП - Долна Митрополия
66,"ЗКПУ ""Напредък""",9403,17.3.2011,11800,Гориво,РУП - Пордим
67,"""ВИК"" ЕООД",9410,17.3.2011,10000,Гориво,РУП - Пордим
68,"ЗКПУ ""Дрен""",9406,17.3.2011,12100,Гориво,РУП - Пордим
69,"""Атлантик-ко"" ЕООД",9388,17.3.2011,9880,Гориво,РУП - Пордим
70,"""Дурум България 2006"" ООД",9391,17.3.2011,26900,Офис техника,РУП - Никопол
71,"""Пламси"" ООД",9396,17.3.2011,10000,Гориво,РУП - Никопол
72,"ЗК ""Единство-94""",9389,17.3.2011,10000,Гориво,РУП - Никопол
73,"""АС-ДС"" ООД",9397,17.3.2011,5000,Гориво,РУП - Никопол
74,"ЗКПУ ""Асеново""",9393,17.3.2011,15000,Гориво,РУП - Никопол
75,"ЗКПУ ""Плодородие""",9395,17.3.2011,10000,Гориво,РУП - Никопол
76,"ЕТ ""Йоана-Георги Петров""",9387,17.3.2011,28320,Гориво,РУП - Червен Бряг
77,"""ВИК"" ЕООД",9414,17.3.2011,12000,Гориво,Първо РУП - Плевен
78,"ЧПТК ""Зора""",9385,17.3.2011,10000,Гориво,Първо РУП - Плевен
79,Община Долни Дъбник,9400,17.3.2011,1470.00,Гориво,РУП - Долни Дъбник
80,"""ВИК"" ЕООД",9412,17.3.2011,22000,Гориво,"Сектор ""ПП"" Плевен"
81,"ЗП ""Алексадър Димашки""",9379,17.3.2011,69000,Гориво,РУП - Долни Дъбник
82,"""Таси"" ООД",9378,17.3.2011,70910,Гориво,РУП - Долни Дъбник
83,"ЕТ ""Георги Борисов-49""",9373,17.3.2011,72000,Гориво,РУП - Долни Дъбник
84,"""ВИК"" ЕООД",9413,17.3.2011,11650,Гориво,РУП - Д.Дъбник
85,"ЧПТК ""Марен""",9443,18.3.2011,10000,Гориво,РУП - Никопол
86,"СПК ""Единство 2004""",9435,18.3.2011,60000,Гориво,РУП - Долни Дъбник
87,"ЗКПУ ""Асеново""",9441,18.3.2011,15000,Гориво,РУП - Никопол
88,"""ВАП хидро"" ЕООД",11532,28.3.2011,30000,Гориво,Първо РУП - гр.Плевен
89,"""Агро сантино"" ЕООД",11524,28.3.2011,18001,Гориво,РУП - Пордим
90,"""Атлантик-ко"" ЕООД",11447,28.3.2011,9560,Гориво,РУП - Пордим
91,"""Керчев и синове"" ООД",11441,28.3.2011,15120,Гориво,РУП - Пордим
92,"""Палфингер            продукционстехник
България "" ЕООД",11461,28.3.2011,1000.00,Гориво,РУП - Червен Бряг
93,"""ВИК"" ЕООД",11459,28.3.2011,10000,Гориво,РУП - Левски
94,"""Плевен БТ"" АД",11527,28.3.2011,19845,Гориво,Второ РУП - Плевен
95,"""Дурум България 2006"" ООД",11513,28.3.2011,13100,Гориво,РУП - Никопол
96,"ЧПТК ""Марен""",11534,28.3.2011,15000,Гориво,РУП - Никопол
97,"ЕТ ""Христо Мунов""",11536,28.3.2011,5000,Гориво,РУП - Никопол
98,"""Винпром Плевен"" ЕАД",11530,28.3.2011,12495,Гориво,Първо РУП - Плевен
99,"""Пауер инженеринг"" ЕООД",12417,31.3.2011,14520,Гориво,Второ РУП - Плевен
100,"СБАЛАГ ""Св.Марина"" ООД",12420,31.3.2011,44760,Климатична техника,"Сектор ""ПП"" отдел ""ОП"" - ОДМВР -
Плевен"
101,"ЗК ""Детелина""",12992,05.4.2011,23600,Гориво,РУП - Левски
102,"""ВАП хидро"" ЕООД",12990,05.4.2011,30000,Гориво,Първо РУП - Плевен
103,"""ВИК"" ЕООД",13254,07.4.2011,12050,Гориво,РУП - Д.Дъбник
104,"""ВИК"" ЕООД",13250,07.4.2011,12000,Гориво,Първо РУП - Плевен
105,"""ВИК"" ЕООД",13252,07.4.2011,10000,Гориво,РУП - Пордим
106,"""ВИК"" ЕООД",13253,07.4.2011,22000,Гориво,"Сектор ""ПП""отдел ""ОП"" - ОДМВР -
Плевен"
107,И.О.,13256,07.4.2011,14700,Гориво,РУП - Пордим
108,РПК-Никопол,13258,07.4.2011,16000,Гориво,РУП - Никопол
109,"""Дурум България 2006"" ООД",13259,07.4.2011,28680,Гориво,РУП - Гулянци
110,"ЗКПУ ""Дрен""",13960,13.4.2011,11996,Гориво,РУП - Пордим
111,"""Пауер инженеринг"" ЕООД",13982,13.4.2011,14520,Гориво,"Сектор ""ПП""отдел ""ОП"" - ОДМВР -
Плевен"
112,"""ТМТ-Елком"" ООД",13981,13.4.2011,10000,Гориво,"Сектор ""ПП""отдел ""ОП"" - ОДМВР -
Плевен"
113,"""Пауер инженеринг"" ЕООД",14516,18.4.2011,14340,Гориво,Второ РУП - Плевен
114,"ЗК ""Единство-13""",14492,18.4.2011,23600,Гориво,РУП - Левски
115,"""Импорт експорт 2000"" ООД",14499,18.4.2011,20000,Гориво,РУП - Пордим
116,"""Керчев и синове"" ООД",14495,18.4.2011,14280,Гориво,РУП - Пордим
117,"""Агро сантино"" ЕООД",13741,19.4.2011,15000,Гориво,"Сектор ""ПП""отдел ""ОП"" - ОДМВР -
Плевен"
118,"""Интермес"" ООД",15189,26.4.2011,9599,"водоструен
апарат","Сектор ""ПП""отдел ""ОП"" - ОДМВР -
Плевен"
119,"""Земя 2003"" ООД",15167,26.4.2011,65812,Гориво,РУП - Пордим
120,"""Агро сантино"" ЕООД",15183,26.4.2011,16999,Гориво,РУП - Пордим
121,"ЕТ ""Мелон""",16799,10.5.2011,47750,Гориво,Второ РУП - Плевен
122,"""Бардгруп"" ЕООД",17569,16.5.2011,35850,Гориво,Второ РУП - Плевен
123,"""Бардгруп"" ЕООД",17571,16.5.2011,34800,Гориво,Второ РУП - Плевен
124,"""Кайлъка ресурс"" АД",17572,16.5.2011,23800,Гориво,Второ РУП - Плевен
125,"""Бардгруп"" ЕООД",17565,16.5.2011,35400,Гориво,Второ РУП - Плевен
126,"""Бардгруп"" ЕООД",17561,16.5.2011,36150,Гориво,Второ РУП - Плевен
127,"ЧПТК ""Марен""",17554,16.5.2011,15000,Гориво,РУП Никопол
128,"РПК ""Наркооп""",17555,16.5.2011,10000,Гориво,РУП Никопол
129,"ЧПТК ""Нов живот""",17553,16.5.2011,5000,Гориво,РУП Никопол
130,"ЗКПУ ""Асеново""",17551,16.5.2011,15000,Гориво,РУП Никопол
131,"ЗКПУ ""Асеново""",17545,16.5.2011,15000,Гориво,РУП Никопол
132,"ЕТ ""Дар-Р.Кирилов""",17556,16.5.2011,20000,Гориво,РУП Никопол
133,Еврокварц МВ,17549,16.5.2011,10000,Гориво,РУП Никопол
134,"""Пламси"" ООД",17547,16.5.2011,10000,Гориво,РУП Никопол
135,"""Интермес"" ООД",17576,16.5.2011,20400,Гориво,"Сектор ""ПП"" в отдел ""ОП"" - ОДМВР -
Плевен"
136,"""Винпром Плевен"" ЕАД",17603,16.5.2011,12169,Гориво,Първо РУП - Плевен
137,"СД ""Ауреус-Нинов и сие""",17598,16.5.2011,9440,Гориво,Второ РУП - Плевен
138,"""Славян"" АД",17602,16.5.2011,5000,Гориво,РУП Пордим
139,"""ВАП хидро"" ЕООД",17715,17.5.2011,30000,Гориво,Първо РУП - Плевен
140,"""Пауер инженеринг"" ЕООД",17700,17.5.2011,14340,Гориво,"Сектор ""ПП""отдел ""ОП"" - ОДМВР -
Плевен"
141,"""Кайлъка ресурс"" АД",17754,17.5.2011,23800,Гориво,Второ РУП - Плевен
142,"""Кайлъка ресурс"" АД",17751,17.5.2011,23600,Гориво,Второ РУП - Плевен
143,"""Интермес"" ООД",17749,17.5.2011,11900,Гориво,Второ РУП - Плевен
144,"""Рубин"" ООД",17756,17.5.2011,20335,Гориво,Второ РУП - Плевен
145,"""ВИК"" ЕООД",17737,17.5.2011,22000,Гориво,"Сектор ""ПП"" в отдел ""ОП"" - ОДМВР -
Плевен"
146,"""Интермес"" ООД",17746,17.5.2011,12150,Гориво,Второ РУП - Плевен
147,"ЗКПУ ""Напредък""",17615,17.5.2011,11850,Гориво,РУП Пордим
148,"""ВИК"" ЕООД",17742,17.5.2011,12000,Гориво,Първо РУП - Плевен
149,"""Агроинвест 2006"" ЕООД",17733,17.5.2011,14164,Гориво,Първо РУП - Плевен
150,"""ВИК"" ЕООД",17743,17.5.2011,10000,Гориво,РУП - Пордим
151,"""ВИК"" ЕООД",17745,17.5.2011,9998,Гориво,РУП - Левски
152,"""ВИК"" ЕООД",17739,17.5.2011,11550,Гориво,РУП - Долни Дъбник
153,"""Интермес"" ООД",19240,01.6.2011,12150,Гориво,Първо РУП - Плевен
154,"ЗКПУ ""Обединение-93""",19241,01.6.2011,12350,Гориво,РУП - Пордим
155,"""Агро сантино"" ЕООД",19243,01.6.2011,17504,Гориво,РУП - Пордим
156,"""Пауер инженеринг"" ЕООД",19244,01.6.2011,14700,Гориво,"Сектор ""ПП"" в отдел ""ОП"" - ОДМВР -
Плевен"
157,"""Пауер инженеринг"" ЕООД",19245,01.6.2011,14190,Гориво,"Сектор ""ПП"" в отдел ""ОП"" - ОДМВР -
Плевен"
158,"""Бриз 2000"" ЕООД",19247,01.6.2011,79900,Компютърна техника,"Сектор ""СОД"" при ОДМВР - Плевен"
159,"""Кайлъка ресурс"" АД",19248,01.6.2011,24300,Гориво,Второ РУП - Плевен
160,"""Керчев и синове"" ООД",19249,01.6.2011,15000,Гориво,РУП - Пордим
161,"""ВИК"" ЕООД",19251,01.6.2011,10000,Гориво,РУП - Долна Митрополия
162,"""Пауер инженеринг"" ЕООД",19252,01.6.2011,14820,Гориво,Второ РУП - Плевен
163,"ЗКПУ ""Дрен""",19255,01.6.2011,12100,Гориво,РУП - Пордим
164,"""Винпром Плевен"" ЕАД",19254,01.6.2011,12498,Гориво,Първо РУП - Плевен
165,"""ВИК"" ЕООД",20705,14.6.2011,10000,Гориво,РУП - Пордим
166,"""ВИК"" ЕООД",20706,14.6.2011,10001,Гориво,РУП - Левски
167,"""ВИК"" ЕООД",20707,14.6.2011,12000,Гориво,Първо РУП - Плевен
168,"""ВИК"" ЕООД",20704,14.6.2011,22000,Гориво,"Сектор ""ПП""отдел ""ОП"" - ОДМВР -
Плевен"
169,"""Пауер инженеринг"" ЕООД",21215,20.6.2011,14400,Гориво,Второ РУП - Плевен
170,"""Рубин"" ООД",21217,20.6.2011,20328,Гориво,Второ РУП - Плевен
171,"ЕТ ""Мелон""",21218,20.6.2011,48800,Гориво,Второ РУП - Плевен
172,"РПК ""Наркооп""",21220,20.6.2011,6000,Гориво,РУП - Никопол
173,"ЧПТК ""Марен""",21221,20.6.2011,10000,Гориво,РУП - Никопол
174,"ЧПТК ""Нов живот""",21223,20.6.2011,10000,Гориво,РУП - Никопол
175,"""АС-ДС"" ООД",21224,20.6.2011,18000,Гориво,РУП - Никопол
176,"ЗКПУ ""Асеново""",21225,20.6.2011,20000,Гориво,РУП - Никопол
177,"ЗКПУ ""Плодородие""",21226,20.6.2011,20000,Гориво,РУП - Никопол
178,"ЧПТК ""Осъм""",21227,20.6.2011,24600,Гориво,РУП - Левски
179,"""Астон сервиз"" ООД",21954,27.6.2011,4000,Офис техника,Първо РУП - Плевен
180,"""Агрикола България"" АД",21900,27.6.2011,30000,Гориво,РУП - Никопол
181,"ЗКПУ ""Плодородие""",21903,27.6.2011,8000,Гориво,РУП - Никопол
182,"ЕТ ""ДАР Р.Кирилов""",21905,27.6.2011,20000,Гориво,РУП - Никопол
183,"""Алукаст комплект"" ЕООД",21949,27.6.2011,5000,Гориво,РУП - Никопол
184,"ЗКПУ ""Асеново""",21952,27.6.2011,15000,Гориво,РУП - Никопол
185,"ЧПТК ""Марен""",21953,27.6.2011,10000,Гориво,РУП - Никопол
186,"""ВИК"" ЕООД",21956,27.6.2011,10000,Гориво,РУП - Левски
187,"""Винпром Плевен"" ЕАД",22293,29.6.2011,12496,Гориво,Първо РУП - Плевен
1,ОМВ,177,14.4.2000,20000,Гориво,ОД на МВР Пловдив
2,ОМВ,178,14.4.2000,1500.00,Гориво,ОД на МВР Пловдив
3,"""Ентертейменд"" АД",500,19.8.2002,2050.00,Гориво,ОД на МВР Пловдив
4,"""Имбо"" ООД",176,05.4.2004,76000,Гориво,ОД на МВР Пловдив
5,ОМВ,254,18.5.2004,1800.00,Гориво,ОД на МВР Пловдив
6,"""Хеброс бус"" АД",60,11.4.2005,1480.00,Гориво,ОД на МВР Пловдив
7,"""Садина агро"" ООД",260,18.8.2005,42000,Гориво,ОД на МВР Пловдив
8,"""Брезово"" ООД",261,18.8.2005,31182,Гориво,ОД на МВР Пловдив
9,"ЕТ ""Бровкин""",247,04.9.2006,60000,Гориво,ОД на МВР Пловдив
10,"""Ди Ем трейд"" ООД",258,08.9.2006,80000,Гориво,ОД на МВР Пловдив
11,"""Деливан"" ООД",160,24.1.2008,60000,Гориво,ОД на МВР Пловдив
12,"""Гард инвест"" ЕООД",158,24.1.2008,36000,Гориво,ОД на МВР Пловдив
13,"""Инса"" ЕООД",54,28.1.2008,1950.00,Гориво,ОД на МВР Пловдив
14,"""Интекс"" ЕООД",111,25.3.2008,1200.00,Гориво,ОД на МВР Пловдив
15,"""Инса"" ЕООД",118,08.4.2008,3454.00,Гориво,ОД на МВР Пловдив
16,"""Хаджията 2"" ЕООД",117,08.4.2008,1900.00,Гориво,ОД на МВР Пловдив
17,"""Златка Цветкова"" ЕООД",123,09.4.2008,54000,Гориво,ОД на МВР Пловдив
18,"""Тракия РМ"" ЕООД",129,09.4.2008,33000,Гориво,ОД на МВР Пловдив
19,"""Хрис 99"" ЕООД",131,11.4.2008,33000,Гориво,ОД на МВР Пловдив
20,"""Агриндо"" ЕООД",195,26.5.2008,30000,Гориво,ОД на МВР Пловдив
21,"""Веко петролиум"" ООД",236,01.12.2009,1200.00,Гориво,ОД на МВР Пловдив
22,Агробизнесгруп,66,09.2.2010,1200.00,Консумативи,РУП Раковски
23,"ТПК ""Бутилираща компания""",232,11.8.2010,60000,Гориво,ОД на МВР Пловдив
