1,Посолство на САЩ в РБ,2563,20.1.2011,"21 664,96","цифрови
камери и оборудване за видео- наблюдение",РДГП - Смолян
2,БМВ ЕООД,5929,09.2.2011,"52 149,88",режеща фреза,ГДГП
3,Община Кирково,488,09.2.2011,"1 410,23","дизелово
гориво",РДГП - Смолян
4,БМВ ЕООД,13981,28.3.2011,"295 009,32","специализиран
и механизми- печати, резервна негравирана месингова текст-плоча, неомастилен тампон от две части, мастило",ГДГП



5,Държавно горско стопанство- Борино,22273,01.4.2011,"47,136",бензин,РДГП - Смолян - ГПУ-Доспат

1,БМВ - ЕООД,ПО-Ф-ДД-01,27.1.2011,"32 075,62","Пожарни
автомобили","ОУПБЗН Пазарджик и ОУПБЗН
Враца"
2,"""Трояннефт"" ООД",Д-67,10.2.2011,"30,000",Парична сума,ОУПБЗН Ловеч
3,Община Айтос,44,19.3.2011,"39,434","Комплект маса
с 2 стола
,безжичен тел.,телефон
,монитор",ОУПБЗН Бургас
4,"""КМБ България"" ЕАД",Я-1862,22.3.2011,"2 605,00",фенери,СУ ПБЗН
5,"""Монбат"" АД",Д-101-1,01.4.2011,"1 186,80","Фенери с
държач за каска",ОУПБЗН Монтана
6,"""Егер"" ООД",ИЯ/ПО-1655,04.4.2011,"57,840",бензин,РСБПЗН БРЕЗОВО
7,"""Интекс 99"" ЕООД",ИЯ/ПО-1656,04.4.2011,"44,800","Мултифункц.
Устройство",РСБПЗН БРЕЗОВО
8,"""Литекс"" АД",101-3,15.4.2011,"18,666",автогаз,ОУПБЗН Ловеч
9,"""Бонмикс"" ЕОД",101-2,15.4.2011,"2 000,00",ГСМ,ОУПБЗН Ловеч
10,"""Континвест"" ООД",204-041-495,18.4.2011,"11,950",бензин,ОУПБЗН В.Търново
11,"""Елит 94"" ЕООД",204-041-496,18.4.2011,"4,700",бензин,ОУПБЗН В.Търново
12,"""Складова техника"" АД",205-041-497,18.4.2011,"14,130",бензин,ОУПБЗН В.Търново
13,"""Трансинженеринг 2001"" ЕООД",204-041-498,18.4.2011,"9,640",бензин,ОУПБЗН В.Търново
14,"""Дани-79"" ООД",204-041-499,18.4.2011,"7,125",бензин,ОУПБЗН В.Търново
15,"ЕТ ""Христо Тачев""",Д-101-2,18.4.2011,"2 058,72","Пож. каски,
фенери",ОУПБЗН Монтана
16,"""Ивком-63""",Д-1,20.4.2011,"5,000","Парично
дарение",ОУПБЗН София
17,"""Белопейпър"" ЕООД",Д-2,20.4.2011,"15,000","Парично
дарение",ОУПБЗН София



18,"""Адимекс 2000"" ООД",Д-3,20.4.2011,"15,000","Парично
дарение",ОУПБЗН София
19,"""Шведски кибрит - плам България""",Д-4,20.4.2011,"20,000","Парично
дарение",ОУПБЗН София
20,Община Балчик,173,21.4.2011,"2 420,00",Бензин,"РС ПБЗН Балчик, РУ ПБЗН Кранево"
21,Община Поморие,ПР-795,29.4.2011,"4 920,82",Бензин,ОУПБЗН Бургас
22,"""Литекс"" АД",101-4,29.4.2011,"13,590","Награди за
състезания",ОУПБЗН Ловеч
23,"""Ню Бояна филм"" АД",Я-3049,29.4.2011,"91,200","комп.
конфигурация",СУ ПБЗН
24,БМВ ЕООД,ПО-Ф-ДД-02,02.5.2011,"52,488","Сигнална
лампа к-т",РСПБЗН Велинград
25,"""Велга"" ООД",101-8,02.5.2011,"16,500",Диван,ОУПБЗН Ловеч
26,"""ММБ инженеринг""",101-7,02.5.2011,"98,668","телевизор, кафе
машина",ОУПБЗН Ловеч
27,"""Емос"" АД",101-6,02.5.2011,"24,000","мебели
гардероби",ОУПБЗН Ловеч
28,"""ММБ инженеринг""",101-5,02.5.2011,"1 000,00","Награди за
състезания",ОУПБЗН Ловеч
29,"""Рубин"" АД",1607,03.5.2011,"1 500,00",Бензин,РС ПБЗН Тервел
30,Окръжен съд Пазарджик,ПО-Ф-ДД-03,04.5.2011,"80,020","Монитори и
принтер",ОУПБЗН Пазарджик
31,"""Челопеч майнинг""",Д-9,05.5.2011,"1 800,00","Парично
дарение",ОУПБЗН София
32,С.П.С.,Д-101-2,09.5.2011,"10,000","компютърна
конфигурация",ОУПБЗН Разград
33,Сдружение БЧК София,Д-101-2,10.5.2011,"1 081,85","Стълба
алуминиева,сед ло, въжета","за нуждите на група СД при ОУ
ПБЗН Пазарджик"
34,Община Априлци,101-10,12.5.2011,"1 497,18","Пожарен
автомобил",ОУПБЗН Ловеч



35,"""ИАФ България"" ЕООД",Д-10,13.5.2011,"50,000","Парично
дарение",ОУПБЗН София
36,"""Зелен свят 2003"" ЕООД",Д-11,13.5.2011,"20,000","Парично
дарение",ОУПБЗН София
37,"""Параходство БМФ"" Варна",34,13.5.2011,"74,000","монитори и
компютри",ОУПБЗН Варна
38,Митница - гр. Свищов,205-07-2,16.5.2011,"65,400","Принтери и
компютърни конфигурации",ОУПБЗН В.Търново
39,"""ВИК"" ООД",ПО-2041,19.5.2011,"20,000","Парично
дарение",ОУПБЗН-Русе
40,"""Приста ойл Холдинг"" ЕАД",ПО-2051,20.5.2011,"84,000",Качулки,"ОУПБЗН-Русе, Втора РСПБЗН-Русе"
41,"""Никром тръбна мебел""",101-13,25.5.2011,"7,000",ГСМ,ОУПБЗН Ловеч
42,"""Техра"" ЕООД",101-12,25.5.2011,"60,000",Парична сума,ОУПБЗН Ловеч
43,"""Екомисия 21 век""",101-11,25.5.2011,"69,690","компютърна
конфигурация",ОУПБЗН Ловеч
44,"""Кнауф България"" ЕООД",204-051-76,31.5.2011,"8 300,00","Противопожаре
н автомобил",ОУПБЗН ВИДИН
45,БМВ ЕООД,ПО-Ф-ДД-04,22.6.2011,"50 000,00","Парично
дарение","Участък ПБЗН-Криводол към
РСПБЗН Враца и участък ПБЗН Роман към РСПБЗН Мездра"

1,"""Болкан           Едвъртайзинг           Енд
дистрибюшън"" ООД",16998,13.8.2010,"7 692,00","Комп.
конфигурации; лазарен принтер",07 РУП-СДВР


